date,open,high,low,close
2019-11-28,220.08000000,224.60000000,212.02000000,217.41000000
2019-11-29,217.40000000,226.49000000,216.90000000,224.00000000
2019-11-30,223.89000000,224.67000000,214.41000000,217.45000000
2019-12-01,217.43000000,218.18000000,209.24000000,214.36000000
2019-12-02,214.37000000,216.25000000,209.68000000,213.67000000
2019-12-03,213.72000000,215.95000000,210.99000000,211.50000000
2019-12-04,211.47000000,219.68000000,202.50000000,207.47000000
2019-12-05,207.36000000,214.46000000,200.88000000,211.50000000
2019-12-06,211.60000000,214.00000000,209.20000000,212.84000000
2019-12-07,212.90000000,216.62000000,210.01000000,211.00000000
2019-12-08,210.97000000,214.89000000,208.00000000,212.58000000
2019-12-09,212.42000000,215.08000000,205.40000000,208.27000000
2019-12-10,208.18000000,209.35000000,203.71000000,206.54000000
2019-12-11,206.63000000,207.99000000,204.05000000,207.01000000
2019-12-12,207.10000000,207.97000000,203.67000000,206.79000000
2019-12-13,206.62000000,212.71000000,206.25000000,211.32000000
2019-12-14,211.44000000,213.11000000,204.67000000,205.82000000
2019-12-15,205.87000000,211.72000000,204.88000000,206.88000000
2019-12-16,206.87000000,208.67000000,193.85000000,196.27000000
2019-12-17,196.26000000,196.96000000,172.10000000,176.45000000
2019-12-18,176.45000000,191.75000000,169.66000000,189.00000000
2019-12-19,188.90000000,191.00000000,183.49000000,185.96000000
2019-12-20,186.07000000,190.72000000,183.82000000,187.44000000
2019-12-21,187.39000000,188.43000000,185.33000000,186.21000000
2019-12-22,186.21000000,197.40000000,185.73000000,196.27000000
2019-12-23,196.28000000,198.00000000,188.20000000,189.61000000
2019-12-24,189.66000000,191.68000000,185.00000000,188.30000000
2019-12-25,188.31000000,188.78000000,182.69000000,185.34000000
2019-12-26,185.34000000,194.99000000,184.01000000,187.79000000
2019-12-27,187.70000000,203.92000000,186.83000000,203.21000000
2019-12-28,203.33000000,210.00000000,202.53000000,206.27000000
2019-12-29,206.26000000,215.94000000,204.34000000,212.34000000
2019-12-30,212.29000000,215.00000000,205.65000000,208.62000000
2019-12-31,208.61000000,214.11000000,201.73000000,204.52000000
2020-01-01,204.57000000,209.00000000,203.10000000,204.44000000
2020-01-02,204.43000000,205.53000000,192.80000000,195.49000000
2020-01-03,195.49000000,226.00000000,191.90000000,222.43000000
2020-01-04,222.38000000,227.64000000,219.56000000,224.47000000
2020-01-05,224.45000000,227.63000000,220.60000000,222.79000000
2020-01-06,222.82000000,247.00000000,222.20000000,244.25000000
2020-01-07,244.26000000,246.90000000,232.00000000,242.30000000
2020-01-08,242.48000000,255.19000000,229.59000000,240.19000000
2020-01-09,240.13000000,243.89000000,231.26000000,238.01000000
2020-01-10,238.06000000,275.00000000,231.13000000,271.83000000
2020-01-11,271.95000000,279.49000000,258.68000000,260.83000000
2020-01-12,260.69000000,271.39000000,257.85000000,270.77000000
2020-01-13,270.85000000,272.99000000,261.06000000,267.21000000
2020-01-14,267.24000000,368.08000000,267.14000000,348.35000000
2020-01-15,348.35000000,362.89000000,312.62000000,339.99000000
2020-01-16,340.00000000,342.96000000,309.20000000,326.76000000
2020-01-17,326.58000000,383.92000000,319.46000000,368.00000000
2020-01-18,367.98000000,405.86000000,330.00000000,339.01000000
2020-01-19,338.79000000,366.27000000,319.78000000,339.61000000
2020-01-20,339.54000000,352.94000000,322.46000000,343.39000000
2020-01-21,343.38000000,348.22000000,332.05000000,343.50000000
2020-01-22,343.50000000,354.52000000,339.16000000,349.22000000
2020-01-23,349.11000000,350.15000000,316.36000000,325.21000000
2020-01-24,325.09000000,327.95000000,297.00000000,318.83000000
2020-01-25,318.82000000,319.27000000,305.10000000,310.13000000
2020-01-26,310.29000000,349.96000000,307.43000000,348.24000000
2020-01-27,348.25000000,378.19000000,347.65000000,362.86000000
2020-01-28,362.90000000,385.38000000,360.26000000,378.60000000
2020-01-29,378.43000000,396.31000000,375.80000000,380.26000000
2020-01-30,380.24000000,399.34000000,370.88000000,392.69000000
2020-01-31,392.52000000,394.99000000,364.16000000,374.86000000
2020-02-01,374.89000000,389.64000000,372.31000000,380.08000000
2020-02-02,380.16000000,387.70000000,368.91000000,377.34000000
2020-02-03,377.24000000,392.84000000,374.40000000,384.25000000
2020-02-04,384.19000000,389.50000000,372.38000000,380.93000000
2020-02-05,380.95000000,445.46000000,378.72000000,444.92000000
2020-02-06,444.93000000,448.43000000,416.88000000,445.76000000
2020-02-07,445.69000000,459.70000000,432.12000000,439.21000000
2020-02-08,439.39000000,454.50000000,425.16000000,444.46000000
2020-02-09,444.46000000,460.55000000,434.79000000,449.72000000
2020-02-10,449.77000000,463.37000000,435.86000000,452.05000000
2020-02-11,452.00000000,469.32000000,440.44000000,461.89000000
2020-02-12,462.00000000,481.87000000,462.00000000,473.55000000
2020-02-13,473.55000000,484.98000000,457.70000000,477.32000000
2020-02-14,477.17000000,498.23000000,465.99000000,493.77000000
2020-02-15,493.77000000,494.99000000,414.00000000,438.96000000
2020-02-16,438.88000000,458.22000000,382.09000000,411.68000000
2020-02-17,411.81000000,417.09000000,367.00000000,412.99000000
2020-02-18,412.99000000,427.47000000,385.00000000,420.20000000
2020-02-19,420.38000000,423.70000000,370.00000000,378.46000000
2020-02-20,378.37000000,388.00000000,352.70000000,371.10000000
2020-02-21,370.88000000,388.88000000,367.23000000,377.74000000
2020-02-22,377.93000000,380.43000000,366.93000000,373.14000000
2020-02-23,372.99000000,404.42000000,372.24000000,401.57000000
2020-02-24,401.50000000,408.43000000,363.00000000,378.22000000
2020-02-25,378.08000000,379.85000000,343.99000000,353.07000000
2020-02-26,353.01000000,362.41000000,301.10000000,316.67000000
2020-02-27,316.77000000,335.40000000,307.16000000,324.62000000
2020-02-28,324.48000000,329.34000000,298.95000000,314.97000000
2020-02-29,315.09000000,322.59000000,305.00000000,306.11000000
2020-03-01,305.90000000,325.00000000,304.13000000,311.90000000
2020-03-02,311.90000000,343.00000000,310.68000000,339.33000000
2020-03-03,339.33000000,339.38000000,321.13000000,329.61000000
2020-03-04,329.66000000,332.19000000,308.35000000,319.46000000
2020-03-05,319.58000000,343.46000000,319.36000000,337.10000000
2020-03-06,337.08000000,353.61000000,332.30000000,350.73000000
2020-03-07,350.74000000,351.11000000,327.09000000,330.92000000
2020-03-08,330.77000000,330.77000000,268.05000000,272.77000000
2020-03-09,272.90000000,280.29000000,252.13000000,273.00000000
2020-03-10,273.04000000,277.95000000,262.80000000,271.79000000
2020-03-11,271.85000000,275.00000000,250.02000000,266.98000000
2020-03-12,267.08000000,267.82000000,136.00000000,144.13000000
2020-03-13,144.13000000,189.67000000,129.00000000,177.46000000
2020-03-14,177.46000000,180.40000000,163.94000000,167.20000000
2020-03-15,167.08000000,190.69000000,165.44000000,178.20000000
2020-03-16,178.20000000,184.41000000,147.14000000,172.41000000
2020-03-17,172.45000000,188.27000000,168.73000000,182.41000000
2020-03-18,182.50000000,186.00000000,169.00000000,184.84000000
2020-03-19,184.76000000,233.60000000,177.62000000,220.83000000
2020-03-20,220.83000000,246.06000000,190.44000000,215.10000000
2020-03-21,215.05000000,230.00000000,206.35000000,220.04000000
2020-03-22,219.96000000,233.00000000,199.58000000,202.73000000
2020-03-23,202.65000000,227.44000000,198.09000000,221.26000000
2020-03-24,221.23000000,230.47000000,217.37000000,227.24000000
2020-03-25,227.26000000,231.45000000,213.09000000,220.68000000
2020-03-26,220.71000000,228.43000000,218.11000000,227.76000000
2020-03-27,227.78000000,233.81000000,208.24000000,213.21000000
2020-03-28,213.32000000,217.13000000,201.82000000,213.89000000
2020-03-29,213.86000000,217.34000000,204.50000000,205.54000000
2020-03-30,205.51000000,226.80000000,205.32000000,219.97000000
2020-03-31,220.00000000,223.88000000,215.76000000,218.36000000
2020-04-01,218.44000000,224.96000000,211.24000000,223.74000000
2020-04-02,223.72000000,248.77000000,221.99000000,231.72000000
2020-04-03,231.84000000,241.96000000,214.00000000,236.09000000
2020-04-04,236.09000000,242.17000000,231.88000000,238.02000000
2020-04-05,238.05000000,239.75000000,223.19000000,230.99000000
2020-04-06,231.02000000,259.86000000,230.71000000,258.09000000
2020-04-07,258.08000000,265.65000000,246.70000000,252.52000000
2020-04-08,252.52000000,280.25000000,250.01000000,267.31000000
2020-04-09,267.34000000,274.74000000,253.27000000,255.91000000
2020-04-10,255.88000000,258.90000000,225.35000000,232.70000000
2020-04-11,232.61000000,240.08000000,221.75000000,232.94000000
2020-04-12,232.93000000,244.79000000,226.88000000,233.09000000
2020-04-13,233.09000000,233.14000000,215.12000000,223.49000000
2020-04-14,223.44000000,228.56000000,219.00000000,223.20000000
2020-04-15,223.04000000,225.28000000,213.86000000,215.04000000
2020-04-16,214.97000000,239.85000000,206.30000000,234.95000000
2020-04-17,235.00000000,236.94000000,229.17000000,231.88000000
2020-04-18,231.83000000,247.59000000,231.54000000,243.64000000
2020-04-19,243.63000000,244.97000000,229.00000000,231.27000000
2020-04-20,231.27000000,238.50000000,215.62000000,219.02000000
2020-04-21,219.02000000,223.50000000,215.03000000,219.42000000
2020-04-22,219.44000000,235.95000000,217.33000000,232.94000000
