date,open,high,low,close
2019-09-24,1.01500000,1.11000000,0.77500000,0.85970000
2019-09-25,0.87110000,0.91220000,0.81010000,0.85170000
2019-09-26,0.85210000,0.90860000,0.81000000,0.85030000
2019-09-27,0.84510000,0.89790000,0.81000000,0.88450000
2019-09-28,0.88660000,0.94000000,0.86050000,0.89020000
2019-09-29,0.89660000,0.90580000,0.85650000,0.88170000
2019-09-30,0.87430000,0.91690000,0.84050000,0.90180000
2019-10-01,0.90160000,0.99200000,0.89500000,0.95020000
2019-10-02,0.94820000,0.94820000,0.88540000,0.94280000
2019-10-03,0.94270000,0.96270000,0.90710000,0.92990000
2019-10-04,0.93060000,0.93060000,0.89670000,0.91940000
2019-10-05,0.91550000,0.91920000,0.89830000,0.90940000
2019-10-06,0.91140000,0.91330000,0.86000000,0.86410000
2019-10-07,0.86300000,0.92380000,0.85030000,0.89830000
2019-10-08,0.89830000,0.91300000,0.88930000,0.89820000
2019-10-09,0.89720000,0.95910000,0.89000000,0.93320000
2019-10-10,0.93540000,0.94780000,0.91110000,0.91400000
2019-10-11,0.91460000,0.91960000,0.87600000,0.90520000
2019-10-12,0.90820000,0.91210000,0.89000000,0.89000000
2019-10-13,0.89040000,0.93620000,0.88360000,0.90310000
2019-10-14,0.89930000,0.93730000,0.89540000,0.93630000
2019-10-15,0.93630000,0.93840000,0.90170000,0.90560000
2019-10-16,0.90110000,0.90870000,0.85610000,0.87310000
2019-10-17,0.87330000,0.89610000,0.86730000,0.89230000
2019-10-18,0.88870000,0.89500000,0.86500000,0.87920000
2019-10-19,0.87500000,0.89190000,0.85330000,0.86180000
2019-10-20,0.85930000,0.88670000,0.85330000,0.87930000
2019-10-21,0.87960000,0.88970000,0.86080000,0.86440000
2019-10-22,0.86920000,0.87920000,0.82000000,0.83350000
2019-10-23,0.83000000,0.83450000,0.74990000,0.75850000
2019-10-24,0.75950000,0.77250000,0.74990000,0.75900000
2019-10-25,0.76160000,0.83990000,0.75950000,0.83480000
2019-10-26,0.83460000,0.92000000,0.80080000,0.83460000
2019-10-27,0.83730000,0.89000000,0.80520000,0.86030000
2019-10-28,0.86220000,0.93000000,0.84800000,0.85000000
2019-10-29,0.84850000,0.86730000,0.82760000,0.84190000
2019-10-30,0.84210000,0.92450000,0.82250000,0.87550000
2019-10-31,0.87830000,0.92480000,0.86560000,0.88320000
2019-11-01,0.88270000,0.88970000,0.85880000,0.87280000
2019-11-02,0.87890000,0.87980000,0.85480000,0.86190000
2019-11-03,0.86210000,0.86690000,0.84620000,0.86660000
2019-11-04,0.86580000,0.90500000,0.86170000,0.88590000
2019-11-05,0.88570000,0.92870000,0.87630000,0.92430000
2019-11-06,0.92370000,1.05000000,0.90100000,1.01560000
2019-11-07,1.01530000,1.43060000,1.01530000,1.20790000
2019-11-08,1.20890000,1.29990000,1.11660000,1.16590000
2019-11-09,1.16600000,1.27500000,1.14700000,1.26580000
2019-11-10,1.26230000,1.26480000,1.18380000,1.22370000
2019-11-11,1.22480000,1.24660000,1.16490000,1.17060000
2019-11-12,1.17230000,1.20000000,1.14690000,1.16550000
2019-11-13,1.16680000,1.16830000,1.11060000,1.13140000
2019-11-14,1.12800000,1.29130000,1.09600000,1.21620000
2019-11-15,1.21610000,1.25910000,1.12640000,1.17000000
2019-11-16,1.17000000,1.17590000,1.14520000,1.15460000
2019-11-17,1.15700000,1.17210000,1.14390000,1.15520000
2019-11-18,1.15580000,1.25900000,1.15280000,1.21220000
2019-11-19,1.21600000,1.24000000,1.13530000,1.20360000
2019-11-20,1.20360000,1.24440000,1.16000000,1.21450000
2019-11-21,1.21610000,1.30000000,1.17070000,1.21580000
2019-11-22,1.21300000,1.27790000,1.07000000,1.21990000
2019-11-23,1.21990000,1.42910000,1.21990000,1.38020000
2019-11-24,1.38350000,1.40440000,1.28410000,1.30990000
2019-11-25,1.31000000,1.31920000,1.19980000,1.22800000
2019-11-26,1.22750000,1.28250000,1.21750000,1.23840000
2019-11-27,1.23900000,1.27830000,1.14410000,1.25420000
2019-11-28,1.25600000,1.34880000,1.20840000,1.27250000
